age_group,Unspecifiable,Communicable disease,Non communicable disease,External cause,Causes specific to infancy
0,4.84,81.72,8.06,3.23,2.15
1-4,2.31,76.92,15.54,4.92,0.31
5-9,2.44,55.49,23.17,18.29,0.61
10-14,4.44,55.56,22.22,17.78,0.0
15,0.0,100.0,0.0,0.0,0.0
