age_group,Unspecifiable,Communicable disease,Direct maternal cause,Non communicable disease,External cause,Causes specific to infancy
0,23,219,43,23,52,438
1-4,15,500,0,101,32,2
5-9,4,91,0,38,30,1
10-14,4,40,0,26,15,0
15-24,3,89,18,77,52,0
25-44,27,562,34,199,106,0
45-64,16,393,1,317,58,0
65+,99,395,1,946,50,0
