level,va_type,experiment,null_model,n_reference,n_predicted,observed_csmf_accuracy,null_mean,null_p2_5,null_p97_5,observed_minus_null_mean,observed_percentile_vs_null,empirical_p_sim_ge_observed
level1,adult,EXP1,overall_physician_prior,2453,2453,0.9910313901345292,0.9024504166666668,0.8833333333333333,0.9220833333333334,0.0885809734678624,1.0,0.0009990009990009
level1,adult,EXP1,uniform_codes,2453,2453,0.9910313901345292,0.5987604166666668,0.5783333333333334,0.6183437500000001,0.3922709734678623,1.0,0.0009990009990009
level1,adult,EXP2,overall_physician_prior,2453,2447,0.9294566205930171,0.9026992068519276,0.8815353834627435,0.922259654679199,0.0267574137410896,0.996,0.0049950049950049
level1,adult,EXP2,uniform_codes,2453,2447,0.9294566205930171,0.5985082516005994,0.5778660945375289,0.6192172387958044,0.3309483689924177,1.0,0.0009990009990009
level1,adult,EXP3,overall_physician_prior,2453,2289,0.947856575618126,0.9029196344837628,0.8831602455584681,0.923804244939566,0.0449369411343629,1.0,0.0009990009990009
level1,adult,EXP3,uniform_codes,2453,2289,0.947856575618126,0.5979924475753605,0.5755459079656328,0.6184117882627057,0.3498641280427653,1.0,0.0009990009990009
level1,adult,EXP4,overall_physician_prior,2453,2451,0.8960125595799147,0.9018821088331294,0.8811259307425541,0.9199875900992792,-0.0058695492532147,0.266,0.7342657342657343
level1,adult,EXP4,uniform_codes,2453,2451,0.8960125595799147,0.59875016999864,0.5795574382904938,0.6175363202094384,0.2972623895812747,1.0,0.0009990009990009
level1,child,EXP1,overall_physician_prior,912,912,0.9725877192982456,0.6918854875283446,0.6598639455782312,0.727891156462585,0.280702231769901,1.0,0.0009990009990009
level1,child,EXP1,uniform_codes,912,912,0.9725877192982456,0.471017006802721,0.44328231292517,0.5,0.5015707124955245,1.0,0.0009990009990009
level1,child,EXP2,overall_physician_prior,912,911,0.9649905155314192,0.6922251767886078,0.6592192676558366,0.7228907022011146,0.2727653387428113,1.0,0.0009990009990009
level1,child,EXP2,uniform_codes,912,911,0.9649905155314192,0.4719481668993978,0.44356330164704,0.5003432474343562,0.4930423486320213,1.0,0.0009990009990009
level1,child,EXP3,overall_physician_prior,912,869,0.949229554034684,0.6920941408400723,0.6595447826234444,0.7271840074733384,0.2571354131946116,1.0,0.0009990009990009
level1,child,EXP3,uniform_codes,912,869,0.949229554034684,0.4718314323811611,0.441610629675729,0.5011050833835644,0.4773981216535228,1.0,0.0009990009990009
level1,child,EXP4,overall_physician_prior,912,911,0.9614350434263486,0.6927682731343543,0.6581655366134745,0.7250794646435229,0.2686667702919942,1.0,0.0009990009990009
level1,child,EXP4,uniform_codes,912,911,0.9614350434263486,0.4716473835783856,0.44356330164704,0.500314871649355,0.4897876598479629,1.0,0.0009990009990009
level1,infant,EXP1,overall_physician_prior,501,501,0.8423153692614771,0.17381,0.146,0.204,0.6685053692614771,1.0,0.0009990009990009
level1,infant,EXP1,uniform_codes,501,501,0.8423153692614771,0.24344,0.2079999999999999,0.28,0.5988753692614771,1.0,0.0009990009990009
level1,infant,EXP2,overall_physician_prior,501,499,0.7553350213400853,0.1735753146292585,0.1444088176352705,0.2026412825651302,0.5817597067108269,1.0,0.0009990009990009
level1,infant,EXP2,uniform_codes,501,499,0.7553350213400853,0.2429301162324649,0.2106733466933867,0.2769880761523045,0.5124049051076204,1.0,0.0009990009990009
level1,infant,EXP3,overall_physician_prior,501,421,0.8966437670976337,0.1730335771971496,0.1395819477434678,0.2062232779097387,0.7236101899004841,1.0,0.0009990009990009
level1,infant,EXP3,uniform_codes,501,421,0.8966437670976337,0.2423928598574821,0.2061637767220901,0.2823847980997623,0.6542509072401516,1.0,0.0009990009990009
level1,infant,EXP4,overall_physician_prior,501,501,0.7884231536926148,0.174198,0.146,0.2059999999999998,0.6142251536926149,1.0,0.0009990009990009
level1,infant,EXP4,uniform_codes,501,501,0.7884231536926148,0.2432139999999999,0.2079999999999999,0.2759999999999999,0.5452091536926149,1.0,0.0009990009990009
level1,overall,EXP1,overall_physician_prior,3866,3866,0.9741334712881532,0.9889535554972448,0.9776895827866704,0.9963264235108896,-0.0148200842090917,0.008,0.992007992007992
level1,overall,EXP1,uniform_codes,3866,3866,0.9741334712881532,0.6123043820519548,0.5966872212017843,0.6276567829965888,0.3618290892361983,1.0,0.0009990009990009
level1,overall,EXP2,overall_physician_prior,3866,3857,0.9286299753164776,0.9890343194144756,0.9774520976796628,0.9965269027671017,-0.0604043440979977,0.0,1.0
level1,overall,EXP2,uniform_codes,3866,3857,0.9286299753164776,0.6124643488307083,0.5960196106857957,0.628902511710469,0.3161656264857694,1.0,0.0009990009990009
level1,overall,EXP3,overall_physician_prior,3866,3579,0.9437386016347876,0.9885899827919782,0.978765676173492,0.9960561070514764,-0.0448513811571904,0.0,1.0
level1,overall,EXP3,uniform_codes,3866,3579,0.9437386016347876,0.612645595619627,0.5970878551954245,0.6277064656515173,0.3310930060151608,1.0,0.0009990009990009
level1,overall,EXP4,overall_physician_prior,3866,3863,0.9108400910169692,0.9890377565575296,0.9785579289973104,0.9962687576930492,-0.0781976655405604,0.0,1.0
level1,overall,EXP4,uniform_codes,3866,3863,0.9108400910169692,0.6122093388397809,0.5967276321054636,0.6274652077691366,0.2986307521771882,1.0,0.0009990009990009
level2,adult,EXP1,overall_physician_prior,2453,2453,0.8956379942927029,0.8354261827079935,0.818515497553018,0.8527732463295269,0.0602118115847093,1.0,0.0009990009990009
level2,adult,EXP1,uniform_codes,2453,2453,0.8956379942927029,0.406668841761827,0.3911092985318107,0.4212887438825448,0.4889691525308758,1.0,0.0009990009990009
level2,adult,EXP2,overall_physician_prior,2453,2447,0.8431099688446013,0.8351105390227137,0.816832493228383,0.8536153984870778,0.0079994298218876,0.807,0.1938061938061938
level2,adult,EXP2,uniform_codes,2453,2447,0.8431099688446013,0.4065593452314683,0.3910480698141547,0.4217203657173179,0.4365506236131329,1.0,0.0009990009990009
level2,adult,EXP3,overall_physician_prior,2453,2289,0.8608469190194619,0.8346607533939537,0.8152642799415888,0.852972408825242,0.0261861656255081,0.996,0.0049950049950049
level2,adult,EXP3,uniform_codes,2453,2289,0.8608469190194619,0.4069622556492253,0.3914594019058451,0.4222098453701189,0.4538846633702365,1.0,0.0009990009990009
level2,adult,EXP4,overall_physician_prior,2453,2451,0.8334019426499296,0.8350631780949015,0.8174046216113142,0.8513087967890057,-0.0016612354449718,0.433,0.5674325674325674
level2,adult,EXP4,uniform_codes,2453,2451,0.8334019426499296,0.406620910298623,0.3912277706672312,0.421840612713924,0.4267810323513066,1.0,0.0009990009990009
level2,child,EXP1,overall_physician_prior,912,912,0.8782894736842105,0.5539242590559825,0.5236004390779364,0.5850713501646543,0.324365214628228,1.0,0.0009990009990009
level2,child,EXP1,uniform_codes,912,912,0.8782894736842105,0.346059275521405,0.3249176728869373,0.3699231613611414,0.5322301981628055,1.0,0.0009990009990009
level2,child,EXP2,overall_physician_prior,912,911,0.848902064436613,0.5539152907324915,0.5217111026230208,0.5843460401652688,0.2949867737041215,1.0,0.0009990009990009
level2,child,EXP2,uniform_codes,912,911,0.848902064436613,0.3457311346501655,0.3239513158481351,0.3678646220543884,0.5031709297864475,1.0,0.0009990009990009
level2,child,EXP3,overall_physician_prior,912,869,0.8668652716370904,0.5525894596031877,0.5225279129018933,0.5841417516885428,0.3142758120339026,1.0,0.0009990009990009
level2,child,EXP3,uniform_codes,912,869,0.8668652716370904,0.3459403733172995,0.3239804006523009,0.3681054595476082,0.5209248983197909,1.0,0.0009990009990009
level2,child,EXP4,overall_physician_prior,912,911,0.86532415698962,0.5539814102788095,0.5227684321760746,0.5832799447176298,0.3113427467108104,1.0,0.0009990009990009
level2,child,EXP4,uniform_codes,912,911,0.86532415698962,0.3460569030064307,0.3250227431285627,0.368962828992157,0.5192672539831893,1.0,0.0009990009990009
level2,infant,EXP1,overall_physician_prior,501,501,0.8083832335329342,0.3576919999999999,0.3199999999999999,0.4000499999999999,0.4506912335329342,1.0,0.0009990009990009
level2,infant,EXP1,uniform_codes,501,501,0.8083832335329342,0.3575259999999999,0.3199499999999999,0.3959999999999999,0.4508572335329342,1.0,0.0009990009990009
level2,infant,EXP2,overall_physician_prior,501,499,0.4986699946799787,0.358881390781563,0.3209622244488978,0.3994822645290579,0.1397886038984157,1.0,0.0009990009990009
level2,infant,EXP2,uniform_codes,501,499,0.4986699946799787,0.3594236873747494,0.3208496993987975,0.3992125250501002,0.1392463073052293,1.0,0.0009990009990009
level2,infant,EXP3,overall_physician_prior,501,421,0.8595967210472167,0.3571867173396674,0.3149143705463182,0.4013871733966746,0.5024100037075493,1.0,0.0009990009990009
level2,infant,EXP3,uniform_codes,501,421,0.8595967210472167,0.3581263325415676,0.3174441805225653,0.4007458432304036,0.5014703885056491,1.0,0.0009990009990009
level2,infant,EXP4,overall_physician_prior,501,501,0.5329341317365268,0.3587959999999999,0.32,0.398,0.1741381317365268,1.0,0.0009990009990009
level2,infant,EXP4,uniform_codes,501,501,0.5329341317365268,0.3577919999999999,0.32,0.396,0.1751421317365268,1.0,0.0009990009990009
level2,overall,EXP1,overall_physician_prior,3866,3866,0.8820486290739783,0.9710313065976712,0.9614424320827942,0.9795666235446312,-0.088982677523693,0.0,1.0
level2,overall,EXP1,uniform_codes,3866,3866,0.8820486290739783,0.4316530401034929,0.4188809831824062,0.4434670116429494,0.4503955889704853,1.0,0.0009990009990009
level2,overall,EXP2,overall_physician_prior,3866,3857,0.8093197565689381,0.9708452708252766,0.9611858883949848,0.9794887338791284,-0.1615255142563385,0.0,1.0
level2,overall,EXP2,uniform_codes,3866,3857,0.8093197565689381,0.4314937444427413,0.4200998570834903,0.4439717306380999,0.3778260121261967,1.0,0.0009990009990009
level2,overall,EXP3,overall_physician_prior,3866,3579,0.8595500250281611,0.970157980486285,0.9600418677733088,0.9783838706960648,-0.1106079554581238,0.0,1.0
level2,overall,EXP3,uniform_codes,3866,3579,0.8595500250281611,0.4313456362343655,0.4190269366330184,0.4437638416130892,0.4282043887937956,1.0,0.0009990009990009
level2,overall,EXP4,overall_physician_prior,3866,3863,0.8110435011669065,0.9708618591011215,0.9610260276032376,0.9789908489303268,-0.159818357934215,0.0,1.0
level2,overall,EXP4,uniform_codes,3866,3863,0.8110435011669065,0.4311751534024826,0.418517967756595,0.4438998891195502,0.3798683477644238,1.0,0.0009990009990009
level3,adult,EXP1,overall_physician_prior,2453,2453,0.7354260089686099,0.8281039967373572,0.8103486949429037,0.8450244698205547,-0.0926779877687473,0.0,1.0
level3,adult,EXP1,uniform_codes,2453,2453,0.7354260089686099,0.5324873572593801,0.5171288743882545,0.5489396411092986,0.2029386517092297,1.0,0.0009990009990009
level3,adult,EXP2,overall_physician_prior,2453,2447,0.7295202941578754,0.8282254708465471,0.8098294279175285,0.8461262242410221,-0.0987051766886716,0.0,1.0
level3,adult,EXP2,uniform_codes,2453,2447,0.7295202941578754,0.5325700526529472,0.516106498552344,0.5479990105072564,0.1969502415049282,1.0,0.0009990009990009
level3,adult,EXP3,overall_physician_prior,2453,2289,0.6796291022645571,0.8282013283260533,0.810592578022274,0.8459876817063237,-0.1485722260614962,0.0,1.0
level3,adult,EXP3,uniform_codes,2453,2289,0.6796291022645571,0.53182577323849,0.5165293557670312,0.5469255979551825,0.147803329026067,1.0,0.0009990009990009
level3,adult,EXP4,overall_physician_prior,2453,2451,0.7170293978863007,0.8284565561681053,0.8108028159428884,0.8467668421784763,-0.1114271582818046,0.0,1.0
level3,adult,EXP4,uniform_codes,2453,2451,0.7170293978863007,0.5320471825262919,0.5168712848502759,0.5479181933265579,0.1849822153600088,1.0,0.0009990009990009
level3,child,EXP1,overall_physician_prior,912,912,0.6918859649122807,0.6143633369923162,0.58397365532382,0.6421514818880352,0.0775226279199645,1.0,0.0009990009990009
level3,child,EXP1,uniform_codes,912,912,0.6918859649122807,0.4117607025246981,0.3863885839736553,0.4390779363336992,0.2801252623875826,1.0,0.0009990009990009
level3,child,EXP2,overall_physician_prior,912,911,0.7415795251025478,0.615342360296944,0.5854325291202415,0.6447674537696961,0.1262371648056037,1.0,0.0009990009990009
level3,child,EXP2,uniform_codes,912,911,0.7415795251025478,0.4106384583592896,0.3854732860115599,0.4349251314281721,0.3309410667432582,1.0,0.0009990009990009
level3,child,EXP3,overall_physician_prior,912,869,0.6911730563462742,0.6135761129476202,0.5814501572015224,0.6435180424905168,0.077596943398654,1.0,0.0009990009990009
level3,child,EXP3,uniform_codes,912,869,0.6911730563462742,0.4105229789593752,0.3829067186755913,0.4356728086208835,0.280650077386899,1.0,0.0009990009990009
level3,child,EXP4,overall_physician_prior,912,911,0.7404312785256225,0.6141446896752822,0.5842986561371504,0.6437239809572235,0.1262865888503402,1.0,0.0009990009990009
level3,child,EXP4,uniform_codes,912,911,0.7404312785256225,0.4118356349580261,0.3876959373241549,0.4371690197018751,0.3285956435675964,1.0,0.0009990009990009
level3,infant,EXP1,overall_physician_prior,501,501,0.8003992015968064,0.4018679999999999,0.36395,0.4439999999999999,0.3985312015968065,1.0,0.0009990009990009
level3,infant,EXP1,uniform_codes,501,501,0.8003992015968064,0.3084399999999999,0.2739999999999999,0.34205,0.4919592015968065,1.0,0.0009990009990009
level3,infant,EXP2,overall_physician_prior,501,499,0.4946779787119149,0.4017393787575149,0.3592665330661321,0.4435168336673347,0.0929385999543999,1.0,0.0009990009990009
level3,infant,EXP2,uniform_codes,501,499,0.4946779787119149,0.3080569498997995,0.2746653306613225,0.342937875751503,0.1866210288121153,1.0,0.0009990009990009
level3,infant,EXP3,overall_physician_prior,501,421,0.8595967210472167,0.4017562802850356,0.356166270783848,0.451377672209026,0.4578404407621811,1.0,0.0009990009990009
level3,infant,EXP3,uniform_codes,501,421,0.8595967210472167,0.3087072114014252,0.2697837292161518,0.3483847980997625,0.5508895096457915,1.0,0.0009990009990009
level3,infant,EXP4,overall_physician_prior,501,501,0.530938123752495,0.4016399999999999,0.36,0.4440499999999999,0.1292981237524951,1.0,0.0009990009990009
level3,infant,EXP4,uniform_codes,501,501,0.530938123752495,0.3089899999999999,0.2739999999999999,0.3439999999999998,0.2219481237524951,1.0,0.0009990009990009
level3,overall,EXP1,overall_physician_prior,3866,3866,0.7415933781686497,0.9581529107373868,0.9477360931435964,0.9668822768434672,-0.2165595325687371,0.0,1.0
level3,overall,EXP1,uniform_codes,3866,3866,0.7415933781686497,0.5258817593790427,0.5128072445019405,0.5386804657179819,0.2157116187896069,1.0,0.0009990009990009
level3,overall,EXP2,overall_physician_prior,3866,3857,0.7263878562918169,0.957980310391449,0.94772774656452,0.967067610476877,-0.2315924540996321,0.0,1.0
level3,overall,EXP2,uniform_codes,3866,3857,0.7263878562918169,0.525788144335948,0.5136084590742591,0.5392517393318241,0.2005997119558689,1.0,0.0009990009990009
level3,overall,EXP3,overall_physician_prior,3866,3579,0.7086286952674299,0.9560918591163706,0.9460995576828612,0.9650915069109116,-0.2474631638489407,0.0,1.0
level3,overall,EXP3,uniform_codes,3866,3579,0.7086286952674299,0.5254050633149315,0.511706654854193,0.5394632933162291,0.1832236319524983,1.0,0.0009990009990009
level3,overall,EXP4,overall_physician_prior,3866,3863,0.7242725130869369,0.9577956744903636,0.9483995708112826,0.9665764380216464,-0.2335231614034267,0.0,1.0
level3,overall,EXP4,uniform_codes,3866,3863,0.7242725130869369,0.5256913259741222,0.5132676913926832,0.5388894490772075,0.1985811871128147,1.0,0.0009990009990009
