stratum,va_type,age_group,sex,level,experiment,n_reference,n_predicted,n_causes_union,sum_abs_csmf_error,csmf_similarity,csmf_accuracy_chance_corrected
va_type_age_sex,adult,45-64,female,level2,EXP2,318,318,24,0.3584905660377359,0.820754716981132,0.820754716981132
va_type_age_sex,adult,45-64,female,level2,EXP3,318,302,25,0.4161356158107377,0.7919321920946312,0.7919321920946312
va_type_age_sex,adult,45-64,female,level2,EXP4,318,317,24,0.3292661151121957,0.8353669424439021,0.8353669424439021
va_type_age_sex,adult,45-64,female,level3,EXP1,318,318,56,0.6226415094339622,0.6886792452830188,0.6886792452830188
va_type_age_sex,adult,45-64,female,level3,EXP2,318,318,50,0.6415094339622642,0.6792452830188679,0.6792452830188679
va_type_age_sex,adult,45-64,female,level3,EXP3,318,302,56,0.7425548752551128,0.6287225623724436,0.6287225623724436
va_type_age_sex,adult,45-64,female,level3,EXP4,318,317,51,0.613376187925322,0.6933119060373389,0.6933119060373389
va_type_age_sex,adult,45-64,male,level1,EXP1,264,264,4,0.022727272727272763,0.9886363636363636,0.9885931558935361
va_type_age_sex,adult,45-64,male,level1,EXP2,264,263,5,0.10289203825325494,0.9485539808733725,0.9485539808733725
va_type_age_sex,adult,45-64,male,level1,EXP3,264,245,4,0.07813852813852812,0.960930735930736,0.9607821835958719
va_type_age_sex,adult,45-64,male,level1,EXP4,264,264,5,0.15909090909090917,0.9204545454545454,0.9204545454545454
va_type_age_sex,adult,45-64,male,level2,EXP1,264,264,23,0.26515151515151514,0.8674242424242424,0.8674242424242424
va_type_age_sex,adult,45-64,male,level2,EXP2,264,263,26,0.3897626454660675,0.8051186772669663,0.8051186772669663
va_type_age_sex,adult,45-64,male,level2,EXP3,264,245,24,0.3340754483611626,0.8329622758194187,0.8329622758194187
va_type_age_sex,adult,45-64,male,level2,EXP4,264,264,25,0.34090909090909094,0.8295454545454546,0.8295454545454546
va_type_age_sex,adult,45-64,male,level3,EXP1,264,264,51,0.5454545454545454,0.7272727272727273,0.7272727272727273
va_type_age_sex,adult,45-64,male,level3,EXP2,264,263,53,0.6634116833736605,0.6682941583131697,0.6682941583131697
va_type_age_sex,adult,45-64,male,level3,EXP3,264,245,51,0.7290661719233147,0.6354669140383427,0.6354669140383427
va_type_age_sex,adult,45-64,male,level3,EXP4,264,264,54,0.5833333333333333,0.7083333333333334,0.7083333333333334
va_type_age_sex,adult,65+,female,level1,EXP1,413,413,4,0.043583535108958925,0.9782082324455206,0.9782082324455206
va_type_age_sex,adult,65+,female,level1,EXP2,413,413,4,0.2615012106537531,0.8692493946731235,0.8692493946731235
va_type_age_sex,adult,65+,female,level1,EXP3,413,381,4,0.041664283489987526,0.9791678582550062,0.9791678582550062
va_type_age_sex,adult,65+,female,level1,EXP4,413,413,4,0.34866828087167073,0.8256658595641646,0.8256658595641646
va_type_age_sex,adult,65+,female,level2,EXP1,413,413,25,0.15496368038740926,0.9225181598062954,0.9225181598062954
va_type_age_sex,adult,65+,female,level2,EXP2,413,413,25,0.3196125907990315,0.8401937046004843,0.8401937046004843
va_type_age_sex,adult,65+,female,level2,EXP3,413,381,27,0.18240516545601293,0.9087974172719935,0.9087974172719935
va_type_age_sex,adult,65+,female,level2,EXP4,413,413,24,0.4019370460048426,0.7990314769975787,0.7990314769975787
va_type_age_sex,adult,65+,female,level3,EXP1,413,413,60,0.7167070217917676,0.6416464891041163,0.6416464891041163
va_type_age_sex,adult,65+,female,level3,EXP2,413,413,57,0.6343825665859565,0.6828087167070218,0.6828087167070218
va_type_age_sex,adult,65+,female,level3,EXP3,413,381,61,0.7514823358944537,0.6242588320527731,0.6242588320527731
va_type_age_sex,adult,65+,female,level3,EXP4,413,413,57,0.7118644067796611,0.6440677966101694,0.6440677966101694
va_type_age_sex,adult,65+,male,level1,EXP1,497,497,4,0.08048289738430589,0.959758551307847,0.959758551307847
va_type_age_sex,adult,65+,male,level1,EXP2,497,494,5,0.20926367924144054,0.8953681603792797,0.8953681603792797
va_type_age_sex,adult,65+,male,level1,EXP3,497,459,4,0.06835785957575521,0.9658210702121224,0.9658210702121224
va_type_age_sex,adult,65+,male,level1,EXP4,497,497,4,0.2816901408450705,0.8591549295774648,0.8591549295774648
va_type_age_sex,adult,65+,male,level2,EXP1,497,497,25,0.18913480885311873,0.9054325955734406,0.9054325955734406
va_type_age_sex,adult,65+,male,level2,EXP2,497,494,24,0.31806221947067026,0.8409688902646648,0.8409688902646648
va_type_age_sex,adult,65+,male,level2,EXP3,497,459,25,0.24215883536513197,0.878920582317434,0.878920582317434
va_type_age_sex,adult,65+,male,level2,EXP4,497,497,25,0.39034205231388336,0.8048289738430583,0.8048289738430583
va_type_age_sex,adult,65+,male,level3,EXP1,497,497,58,0.5432595573440644,0.7283702213279678,0.7283702213279678
va_type_age_sex,adult,65+,male,level3,EXP2,497,494,56,0.5309834716802841,0.7345082641598579,0.7345082641598579
va_type_age_sex,adult,65+,male,level3,EXP3,497,459,55,0.5657474257308558,0.717126287134572,0.717126287134572
va_type_age_sex,adult,65+,male,level3,EXP4,497,497,55,0.6478873239436621,0.676056338028169,0.676056338028169
va_type_age_sex,child,0,female,level1,EXP1,75,75,4,0.05333333333333329,0.9733333333333334,0.972972972972973
va_type_age_sex,child,0,female,level1,EXP2,75,74,5,0.2097297297297297,0.8951351351351351,0.8951351351351351
va_type_age_sex,child,0,female,level1,EXP3,75,74,5,0.14126126126126126,0.9293693693693694,0.9293693693693694
va_type_age_sex,child,0,female,level1,EXP4,75,75,5,0.1866666666666667,0.9066666666666666,0.9066666666666666
va_type_age_sex,child,0,female,level2,EXP1,75,75,16,0.2933333333333333,0.8533333333333334,0.8533333333333334
va_type_age_sex,child,0,female,level2,EXP2,75,74,17,0.3967567567567567,0.8016216216216216,0.8016216216216216
va_type_age_sex,child,0,female,level2,EXP3,75,74,21,0.4097297297297298,0.7951351351351351,0.7951351351351351
va_type_age_sex,child,0,female,level2,EXP4,75,75,16,0.2933333333333332,0.8533333333333334,0.8533333333333334
va_type_age_sex,child,0,female,level3,EXP1,75,75,25,0.6933333333333334,0.6533333333333333,0.6533333333333333
va_type_age_sex,child,0,female,level3,EXP2,75,74,27,0.606126126126126,0.6969369369369369,0.6969369369369369
va_type_age_sex,child,0,female,level3,EXP3,75,74,30,0.7708108108108106,0.6145945945945948,0.6145945945945948
va_type_age_sex,child,0,female,level3,EXP4,75,75,25,0.5599999999999999,0.72,0.72
va_type_age_sex,child,0,male,level1,EXP1,82,82,4,0.02439024390243892,0.9878048780487806,0.9873417721518988
va_type_age_sex,child,0,male,level1,EXP2,82,82,5,0.21951219512195114,0.8902439024390244,0.8902439024390244
va_type_age_sex,child,0,male,level1,EXP3,82,76,5,0.12451861360718872,0.9377406931964056,0.9377406931964056
va_type_age_sex,child,0,male,level1,EXP4,82,82,5,0.19512195121951212,0.9024390243902439,0.9024390243902439
va_type_age_sex,child,0,male,level2,EXP1,82,82,17,0.3414634146341463,0.8292682926829269,0.8292682926829269
va_type_age_sex,child,0,male,level2,EXP2,82,82,17,0.46341463414634143,0.7682926829268293,0.7682926829268293
va_type_age_sex,child,0,male,level2,EXP3,82,76,21,0.5057766367137355,0.7471116816431322,0.7471116816431322
va_type_age_sex,child,0,male,level2,EXP4,82,82,17,0.4146341463414634,0.7926829268292683,0.7926829268292683
va_type_age_sex,child,0,male,level3,EXP1,82,82,24,0.6829268292682926,0.6585365853658537,0.6585365853658537
va_type_age_sex,child,0,male,level3,EXP2,82,82,24,0.6341463414634146,0.6829268292682926,0.6829268292682926
va_type_age_sex,child,0,male,level3,EXP3,82,76,28,0.7066752246469833,0.6466623876765083,0.6466623876765083
va_type_age_sex,child,0,male,level3,EXP4,82,82,24,0.6341463414634146,0.6829268292682926,0.6829268292682926
va_type_age_sex,child,1-4,female,level1,EXP1,308,308,4,0.08441558441558444,0.9577922077922078,0.9570957095709571
va_type_age_sex,child,1-4,female,level1,EXP2,308,308,5,0.08441558441558447,0.9577922077922078,0.9577922077922078
va_type_age_sex,child,1-4,female,level1,EXP3,308,293,5,0.12417446035193475,0.9379127698240326,0.9379127698240326
va_type_age_sex,child,1-4,female,level1,EXP4,308,308,5,0.08441558441558447,0.9577922077922078,0.9577922077922078
va_type_age_sex,child,1-4,female,level2,EXP1,308,308,27,0.23376623376623376,0.8831168831168831,0.8831168831168831
va_type_age_sex,child,1-4,female,level2,EXP2,308,308,24,0.2727272727272727,0.8636363636363636,0.8636363636363636
va_type_age_sex,child,1-4,female,level2,EXP3,308,293,25,0.25601702052214,0.87199148973893,0.87199148973893
va_type_age_sex,child,1-4,female,level2,EXP4,308,308,25,0.24025974025974023,0.8798701298701299,0.8798701298701299
va_type_age_sex,child,1-4,female,level3,EXP1,308,308,42,0.5194805194805197,0.7402597402597402,0.7402597402597402
va_type_age_sex,child,1-4,female,level3,EXP2,308,308,38,0.5259740259740258,0.7370129870129871,0.7370129870129871
va_type_age_sex,child,1-4,female,level3,EXP3,308,293,41,0.5939453038429148,0.7030273480785426,0.7030273480785426
va_type_age_sex,child,1-4,female,level3,EXP4,308,308,39,0.5129870129870129,0.7435064935064936,0.7435064935064936
va_type_age_sex,child,1-4,male,level1,EXP1,270,270,5,0.11851851851851852,0.9407407407407408,0.9407407407407408
va_type_age_sex,child,1-4,male,level1,EXP2,270,270,5,0.05185185185185187,0.9740740740740741,0.9740740740740741
va_type_age_sex,child,1-4,male,level1,EXP3,270,264,5,0.15033670033670035,0.9248316498316498,0.9248316498316498
va_type_age_sex,child,1-4,male,level1,EXP4,270,270,5,0.04444444444444442,0.9777777777777777,0.9777777777777777
va_type_age_sex,child,1-4,male,level2,EXP1,270,270,23,0.2962962962962963,0.8518518518518519,0.8518518518518519
va_type_age_sex,child,1-4,male,level2,EXP2,270,270,24,0.33333333333333326,0.8333333333333334,0.8333333333333334
va_type_age_sex,child,1-4,male,level2,EXP3,270,264,23,0.31936026936026934,0.8403198653198654,0.8403198653198654
va_type_age_sex,child,1-4,male,level2,EXP4,270,270,23,0.32592592592592595,0.837037037037037,0.837037037037037
va_type_age_sex,child,1-4,male,level3,EXP1,270,270,39,0.7259259259259259,0.6370370370370371,0.6370370370370371
va_type_age_sex,child,1-4,male,level3,EXP2,270,270,39,0.6296296296296297,0.6851851851851851,0.6851851851851851
va_type_age_sex,child,1-4,male,level3,EXP3,270,264,40,0.6611111111111111,0.6694444444444445,0.6694444444444445
va_type_age_sex,child,1-4,male,level3,EXP4,270,270,38,0.6074074074074074,0.6962962962962963,0.6962962962962963
va_type_age_sex,child,10-14,female,level1,EXP1,22,22,3,0.18181818181818182,0.9090909090909091,0.8823529411764706
va_type_age_sex,child,10-14,female,level1,EXP2,22,22,4,0.18181818181818182,0.9090909090909091,0.9090909090909091
va_type_age_sex,child,10-14,female,level1,EXP3,22,21,3,0.14285714285714288,0.9285714285714286,0.907563025210084
va_type_age_sex,child,10-14,female,level1,EXP4,22,22,4,0.18181818181818182,0.9090909090909091,0.9090909090909091
va_type_age_sex,child,10-14,female,level2,EXP1,22,22,14,0.4545454545454546,0.7727272727272727,0.7727272727272727
va_type_age_sex,child,10-14,female,level2,EXP2,22,22,14,0.5454545454545454,0.7272727272727273,0.7272727272727273
va_type_age_sex,child,10-14,female,level2,EXP3,22,21,12,0.35064935064935066,0.8246753246753247,0.8246753246753247
